
CREATE SET table RWD_META_MDH.TD_doclist
(
 DocTitle    VARCHAR(200) NOT NULL
;DocSize     VARCHAR(10)
;ProdRelease VARCHAR(10)
;DocID       VARCHAR(10)
;Date
)
PRIMARY INDEX(DocID);

Insert into Values()
 ANSI Temporal Table Support;626 KB;Teradata Database: 15.00, 15.10;B035-1186-015K;2014-10-07
 Application Programming Reference;2 MB;Teradata Database: 15.10;B035-1090-151K;2015-12-22
 Data Dictionary;1 MB;Teradata Database: 15.10;B035-1092-151K;2015-12-22
 Data Dictionary (Japanese);7 MB;Teradata Database: 15.10;B035-1092-151K-JPN;2015-09-25
 Database Administration;7 MB;Teradata Database: 15.10;B035-1093-151K;2015-07-06
 Database Administration (Japanese);8 MB;Teradata Database: 15.10;B035-1093-151K-JPN;2015-12-22
 Database Design;7 MB;Teradata Database: 15.10;B035-1094-151K;2015-07-06
 International Character Set Support;1 MB;Teradata Database: 15.00, 15.10;B035-1125-015K;2015-05-18
 Introduction to Teradata;812 KB;Teradata Database: 15.10;B035-1091-151K;2015-06-03
 Messages;6 MB;Teradata Database: 15.10; Teradata Tools and Utilities Suite: 15.10, 15.10.04;B035-1096-151K;2015-06-03
 Release Definition - Teradata Database 15.10;286 KB;Teradata Database: 15.10;B035-1725-151K;2015-07-06
 Release Definition - Teradata Database 15.10.01;285 KB;Teradata Database: 15.10;B035-1725-152K;2016-04-27
 Release Summary;681 KB;Teradata Database: 15.10;B035-1098-151K;2015-12-22
 Release Summary (Japanese);868 KB;Teradata Database: 15.10;B035-1098-151K-JPN;2015-09-25
 Resource Usage Macros and Tables;1 MB;Teradata Database: 15.10;B035-1099-151K;2016-04-27
 Security Administration;4 MB;Teradata Database: 15.10;B035-1100-152K;2016-06-14
 Security Administration;2 MB;Teradata Database: 15.10;B035-1100-151K;2015-07-06
 SQL Data Control Language;1 MB;Teradata Database: 15.10;B035-1149-151K;2015-12-22
 SQL Data Control Language (Japanese);4 MB;Teradata Database: 15.10;B035-1149-151K-JPN;2015-09-25
 SQL Data Definition Language - Detailed Topics;4 MB;Teradata Database: 15.10;B035-1184-151K;2015-07-06
 SQL Data Definition Language - Detailed Topics (Japanese);13 MB;Teradata Database: 15.10;B035-1184-151K-JPN;2015-09-25
 SQL Data Definition Language - Syntax and Examples;6 MB;Teradata Database: 15.10;B035-1144-151K;2015-12-22
 SQL Data Definition Language - Syntax and Examples (Japanese);8 MB;Teradata Database: 15.10;B035-1144-151K-JPN;2015-12-22
 SQL Data Manipulation Language;3 MB;Teradata Database: 15.10;B035-1146-151K;2015-07-06
 SQL Data Manipulation Language (Japanese);10 MB;Teradata Database: 15.10;B035-1146-151K-JPN;2015-09-25
 SQL Data Types and Literals;1 MB;Teradata Database: 15.10;B035-1143-151K;2015-12-22
 SQL External Routine Programming;3 MB;Teradata Database: 15.10;B035-1147-151K;2017-05-22
 SQL External Routine Programming (Japanese);13 MB;Teradata Database: 15.10;B035-1147-151K-JPN;2015-12-22
 SQL Functions; Operators; Expressions; and Predicates;5 MB;Teradata Database: 15.10;B035-1145-151K;2017-03-20
 SQL Functions; Operators; Expressions; and Predicates (Japanese);10 MB;Teradata Database: 15.10;B035-1145-151K-JPN;2015-12-22
 SQL Fundamentals;921 KB;Teradata Database: 15.10;B035-1141-151K;2015-06-03
 SQL Fundamentals (Japanese);3 MB;Teradata Database: 15.10;B035-1141-151K-JPN;2015-09-25
 SQL Geospatial Types;2 MB;Teradata Database: 15.10;B035-1181-151K;2015-06-03
 SQL Geospatial Types (Japanese);3 MB;Teradata Database: 15.10;B035-1181-151K-JPN;2015-09-25
 SQL Request and Transaction Processing;5 MB;Teradata Database: 15.10;B035-1142-151K;2015-06-03
 SQL Request and Transaction Processing (Japanese);14 MB;Teradata Database: 15.10;B035-1142-151K-JPN;2015-09-25
 SQL Stored Procedures and Embedded SQL;3 MB;Teradata Database: 15.10;B035-1148-151K;2015-06-03
 Support Utilities;1 MB;Teradata Database: 15.10;B035-1180-151K;2016-04-27
 Support Utilities (Japanese);5 MB;Teradata Database: 15.10;B035-1180-151K-JPN;2015-09-25
 SystemFE Macro;434 KB;Teradata Database: 15.00, 15.10;B035-1103-015K;2014-06-24
 Temporal Table Support;1 MB;Teradata Database: 15.10;B035-1182-151K;2015-06-03
 Temporal Table Support (Japanese);4 MB;Teradata Database: 15.10;B035-1182-151K-JPN;2015-09-25
 Teradata Database 15.10 and Teradata Tools and Utilities 15.10 User Documentation Package;150 MB;Teradata Database: 15.10, Teradata Tools and Utilities Suite: 15.10, 15.10.04;B035-1909-151D;2016-01-20
 Teradata Database 15.10 and Teradata Tools and Utilities 15.10 User Documentation Package (Japanese);191 MB;Teradata Database: 15.10, Teradata Tools and Utilities Suite: 15.10;B035-1909-151D-JPN;2016-01-07
 Offline Teradata Database; Tools and Utilities Release 15.10: LinKto HTML,Offline,Teradata Database: 15.10, Teradata Tools and Utilities Suite: 15.10;N/A;2017-02-02
 Teradata Debugger for C/C++ UDF Installation Guide; Release 15.10;315 KB;Teradata Database: 15.10;B035-2071-016K;2017-02-03
 Teradata Debugger for C/C++ UDF User Guide; Release 15.10;534 KB;Teradata Database: 15.10;B035-2070-016K;2017-02-03
 Teradata JSON;1 MB;Teradata Database: 15.10;B035-1150-151K;2015-12-22
 Teradata JSON (Japanese);923 KB;Teradata Database: 15.10;B035-1150-151K-JPN;2015-10-22
 Teradata Virtual Storage;279 KB;Teradata Database: 15.10;B035-1179-151K;2015-12-22
 Teradata Workload Management User Guide;1 MB;Teradata Database: 15.10;B035-1197-151K;2016-03-31
 Teradata XML;1 MB;Teradata Database: 15.10;B035-1140-151K;2015-12-22
 Teradata XML (Japanese);841 KB;Teradata Database: 15.10;B035-1140-151K-JPN;2015-10-22
 Utilities;4 MB;Teradata Database: 15.10;B035-1102-151K;2015-12-22
 Utilities (Japanese);13 MB;Teradata Database: 15.10;B035-1102-151K-JPN;2015-09-25
